Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-05-18,2,-0.3200260248877088,0.20896049655251248,-0.3561021001698062,2,217,4,2,1,0.03859398770572777,2
2022-05-13,2,-0.19198207421634325,-0.2641245073058268,-0.5319302907030876,2,1523,4,1,1,-1.092066911376893,2
2022-05-16,2,-0.2303952594177529,0.05126549526639938,-0.5319302907030876,2,1756,4,1,1,-1.092066911376893,2
2022-07-04,2,-0.3200260248877088,-0.2641245073058268,-0.5319302907030876,2,522,4,2,1,-1.092066911376893,2
2022-05-09,2,-0.35203701255555025,-0.18527700666277028,-0.5319302907030876,1,1886,4,2,0,-1.092066911376893,2
2022-04-29,2,-0.3584392100891185,-0.579514509878053,-0.5319302907030876,2,1971,4,2,1,0.03859398770572777,2
2022-06-21,2,-0.3200260248877088,-0.4218195085919399,-0.004445719103243464,2,1180,4,2,0,0.03859398770572777,0
2022-06-21,1,-0.38404800022339164,-1.1314470143794488,-0.5319302907030876,2,1180,4,2,0,-1.092066911376893,0
2022-06-07,2,-0.11515570381352389,-0.2641245073058268,-0.5319302907030876,1,1472,4,2,0,0.03859398770572777,0
2022-06-20,2,-0.3200260248877088,0.05126549526639938,-0.5319302907030876,1,1354,4,1,1,0.03859398770572777,2
2022-05-23,3,-0.12796009888066046,0.36665549783862555,-0.5319302907030876,1,25,4,1,1,0.03859398770572777,0
2022-06-07,1,-0.38404800022339164,-0.8949045124502792,-0.5319302907030876,1,987,4,2,1,-1.092066911376893,0
2022-05-14,1,-0.3648414076226868,-1.1314470143794488,-0.5319302907030876,1,1961,4,0,0,-1.092066911376893,2
2022-05-09,1,-0.37764580268982334,-0.9343282627718075,-0.5319302907030876,1,521,4,2,1,-1.092066911376893,0
2022-05-05,3,-0.33923261748841366,-0.10642950601971371,-0.3561021001698062,1,1497,4,2,0,0.03859398770572777,2
2022-06-01,3,0.06410582712638795,0.5022731989446828,-0.5319302907030876,1,1397,4,0,1,0.03859398770572777,2
2022-05-17,2,-0.3712436051562551,-0.579514509878053,-0.5319302907030876,2,233,4,1,1,-1.092066911376893,2
2022-06-20,2,-0.3200260248877088,-0.2641245073058268,-0.3561021001698062,2,256,4,2,1,-1.092066911376893,2
2022-06-09,2,-0.3712436051562551,-0.4848975091063851,-0.5319302907030876,2,256,4,2,1,-1.092066911376893,2
2022-07-02,2,-0.3469152545286956,-0.5006670092349964,-0.5319302907030876,1,1776,4,2,2,-1.092066911376893,2
2022-06-14,2,-0.3328304199548454,-0.8949045124502792,-0.3561021001698062,1,609,4,2,0,0.03859398770572777,2
2022-06-15,1,-0.3968523952905282,-1.0525995137363924,-0.004445719103243464,1,609,4,2,1,-1.092066911376893,2
2022-06-15,3,-0.3648414076226868,0.9974355029830779,-0.3561021001698062,2,856,4,2,1,-1.092066911376893,2
2022-05-28,1,-0.34563481502198196,-0.8949045124502792,-0.5319302907030876,2,1889,4,1,0,-1.092066911376893,0
2022-05-22,2,-0.3584392100891185,0.05126549526639938,-0.5319302907030876,2,1627,4,2,1,-1.092066911376893,2
2022-06-18,1,-0.38020668170325067,-0.9658672630290301,-0.5319302907030876,1,518,4,1,1,-1.092066911376893,0
2022-06-25,2,-0.3712436051562551,0.05126549526639938,-0.18027390963652484,2,1006,4,1,1,-1.092066911376893,2
2022-06-22,2,-0.33923261748841366,-0.2641245073058268,-0.004445719103243464,2,193,4,2,1,-1.092066911376893,2
2022-06-25,2,-0.28801503721986743,-0.18527700666277028,-0.3561021001698062,2,1595,4,2,1,0.03859398770572777,2
2022-05-21,1,-0.35203701255555025,-0.9737520130933357,-0.3561021001698062,1,192,4,2,1,-1.092066911376893,2
2022-06-26,2,-0.25600404955202605,-0.10642950601971371,-0.3561021001698062,1,1562,4,2,1,0.03859398770572777,2
2022-06-16,2,-0.3712436051562551,-0.6583620105211095,-0.5319302907030876,2,2110,4,1,1,-1.092066911376893,2
2022-06-29,2,-0.38404800022339164,-0.7372095111641661,-0.3561021001698062,1,236,4,2,1,0.03859398770572777,2
2022-05-10,3,-0.1663732840820701,0.20896049655251248,-0.3561021001698062,1,522,4,2,1,-1.092066911376893,2
2022-05-12,2,-0.25600404955202605,-0.18527700666277028,-0.5319302907030876,1,1889,4,1,1,-1.092066911376893,2
2022-06-03,2,-0.28801503721986743,-0.2641245073058268,-0.3561021001698062,1,1851,4,2,0,-1.092066911376893,0
2022-05-31,2,-0.3584392100891185,-0.5322060094922191,-0.18027390963652484,1,308,4,2,0,-1.092066911376893,2
2022-06-10,2,-0.17917767914920668,-0.10642950601971371,-0.5319302907030876,1,227,4,1,0,0.03859398770572777,2
2022-06-24,1,-0.3200260248877088,-1.0999080141222262,-0.5319302907030876,1,814,4,1,1,-1.092066911376893,2
2022-06-29,2,-0.3558783310756912,-0.5322060094922191,-0.5319302907030876,1,308,4,1,1,-1.092066911376893,2
2022-05-12,3,-0.29441723475343573,0.8397405016969649,-0.3561021001698062,1,272,4,0,0,0.03859398770572777,2
2022-06-26,1,-0.38404800022339164,-0.579514509878053,-0.3561021001698062,2,256,4,2,1,-1.092066911376893,2
2022-04-30,2,-0.33923261748841366,-0.4218195085919399,-0.004445719103243464,1,236,4,1,1,-1.092066911376893,2
2022-05-27,1,-0.3712436051562551,-1.0525995137363924,-0.18027390963652484,2,209,4,1,1,-1.092066911376893,2
2022-06-06,2,-0.3200260248877088,0.5243504991247386,-0.5319302907030876,2,907,4,1,2,0.03859398770572777,2
2022-05-20,2,-0.38916975825024624,-0.8949045124502792,-0.18027390963652484,1,256,4,1,0,-1.092066911376893,2
2022-07-02,2,-0.29441723475343573,-0.5006670092349964,-0.5319302907030876,2,196,4,2,2,0.03859398770572777,2
2022-05-12,3,-0.25600404955202605,0.15849809614095628,-0.18027390963652484,2,227,4,1,1,0.03859398770572777,2
2022-06-22,1,-0.35203701255555025,-1.289142015665562,-0.5319302907030876,2,1754,4,0,1,-1.092066911376893,2
2022-06-25,1,-0.35203701255555025,-0.8160570118072227,-0.3561021001698062,1,1396,4,2,0,-1.092066911376893,2
2022-07-03,2,-0.38404800022339164,-0.2641245073058268,-0.5319302907030876,1,236,4,2,1,-1.092066911376893,2
2022-04-23,2,-0.25600404955202605,0.05126549526639938,-0.3561021001698062,2,227,4,2,1,0.03859398770572777,2
2022-05-14,2,-0.3072216298205723,-0.10642950601971371,0.17138247143003793,2,1477,4,1,0,-1.092066911376893,2
2022-05-27,1,-0.3584392100891185,-0.579514509878053,-0.3561021001698062,1,256,4,2,1,-1.092066911376893,2
2022-06-19,2,-0.3712436051562551,0.36665549783862555,-0.5319302907030876,2,740,4,2,1,-1.092066911376893,2
2022-06-19,2,-0.3712436051562551,0.36665549783862555,-0.3561021001698062,2,740,4,1,0,0.03859398770572777,2
2022-07-02,2,-0.3584392100891185,-0.5006670092349964,-0.18027390963652484,2,95,4,1,1,0.03859398770572777,2
2022-07-06,2,-0.33923261748841366,-0.3902805083347173,-0.004445719103243464,1,1846,4,1,1,0.03859398770572777,2
2022-07-02,1,-0.38404800022339164,-1.0525995137363924,-0.5319302907030876,1,960,4,2,0,-1.092066911376893,2
2022-06-21,3,-0.06393812354497765,0.36665549783862555,-0.3561021001698062,1,2041,4,2,1,1.1692548867883485,0
2022-05-14,1,-0.4032545928240965,-1.1314470143794488,-0.004445719103243464,2,200,4,1,1,-1.092066911376893,2
2022-06-26,2,-0.34563481502198196,0.20896049655251248,-0.18027390963652484,1,1326,4,2,0,-1.092066911376893,2
2022-07-02,1,-0.38404800022339164,-1.0525995137363924,-0.3561021001698062,1,960,4,2,1,-1.092066911376893,2
2022-05-05,2,-0.35203701255555025,-0.579514509878053,-0.3561021001698062,2,95,4,1,1,-1.092066911376893,2
2022-05-18,2,-0.3648414076226868,-0.2641245073058268,-0.3561021001698062,1,359,4,2,1,-1.092066911376893,2
2022-06-07,1,-0.35203701255555025,-0.4533585088491625,-0.5319302907030876,2,813,4,2,1,-1.092066911376893,2
2022-06-07,1,-0.35203701255555025,-0.4533585088491625,-0.3561021001698062,2,813,4,2,1,-1.092066911376893,2
2022-06-26,2,-0.24319965448488948,-0.18527700666277028,-0.5319302907030876,1,1755,4,1,0,-1.092066911376893,0
2022-06-26,2,-0.24319965448488948,-0.18527700666277028,-0.5319302907030876,1,1755,4,1,0,-1.092066911376893,0
2022-05-30,2,-0.3648414076226868,-0.4218195085919399,-0.3561021001698062,2,217,4,2,0,-1.092066911376893,2
2022-05-22,3,0.06410582712638795,0.8397405016969649,-0.3561021001698062,2,262,4,2,1,0.03859398770572777,2
2022-06-18,2,-0.28801503721986743,-0.027582005376657167,-0.5319302907030876,2,1153,4,1,1,0.03859398770572777,2
2022-06-08,2,-0.37764580268982334,-0.7372095111641661,-0.3561021001698062,2,196,4,2,1,-1.092066911376893,2
2022-06-25,1,-0.38404800022339164,-0.8160570118072227,-0.3561021001698062,1,520,4,1,1,-1.092066911376893,2
2022-05-03,2,-0.3648414076226868,-0.4218195085919399,-0.3561021001698062,2,1883,4,2,0,-1.092066911376893,2
2022-05-12,1,-0.34563481502198196,-0.7372095111641661,-0.5319302907030876,2,1085,4,2,1,-1.092066911376893,2
